Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm,HomeH2HResults,AwayH2HResults,HomeH2HGD,AwayH2HGD
SP1,2025-01-31,Leganes,Vallecano,0,1,A,0,0,D,5,19,1,3,2,9,7,19,2,4,1,0,11,6,1,0,0,1,1,8,9,0,0,0,0
SP1,2025-02-01,Getafe,Sevilla,0,0,D,0,0,D,7,13,1,1,6,5,15,12,4,6,0,0,11,10,0,0,0,0,0,7,8,6,9,2,-2
SP1,2025-02-01,Villarreal,Valladolid,5,1,H,1,0,H,22,8,8,2,3,6,9,14,1,2,0,0,9,3,6,1,4,1,5,8,6,0,0,0,0
SP1,2025-02-01,Ath Madrid,Mallorca,2,0,H,1,0,H,17,10,5,1,10,4,9,14,2,3,0,0,14,5,2,0,1,0,1,10,6,12,3,4,-4
SP1,2025-02-01,Espanol,Real Madrid,1,0,H,0,0,D,5,21,2,7,1,8,14,3,2,0,0,0,9,2,1,0,1,0,1,6,13,0,0,0,0
SP1,2025-02-02,Barcelona,Alaves,1,0,H,0,0,D,11,3,4,0,5,2,8,20,5,2,0,0,7,7,1,0,1,0,1,5,6,0,0,0,0
SP1,2025-02-02,Valencia,Celta,2,1,H,1,0,H,8,3,5,2,5,2,9,17,1,2,0,0,7,3,3,1,1,1,2,5,4,8,5,2,-2
SP1,2025-02-02,Osasuna,Sociedad,2,1,H,1,0,H,11,13,4,3,3,5,10,8,3,3,0,0,8,6,3,1,1,1,2,3,4,7,7,-1,1
SP1,2025-02-02,Betis,Ath Bilbao,2,2,D,2,1,H,10,12,6,4,3,7,10,20,3,1,0,0,10,4,4,1,0,1,1,7,11,8,5,1,-1
SP1,2025-02-03,Girona,Las Palmas,2,1,H,1,0,H,12,10,4,2,11,3,12,12,2,2,0,0,14,4,3,1,1,1,2,6,5,0,0,0,0
SP1,2025-02-07,Vallecano,Valladolid,1,0,H,0,0,D,20,8,6,3,4,2,11,15,2,2,0,0,6,4,1,0,1,0,1,11,3,0,0,0,0
SP1,2025-02-08,Celta,Betis,3,2,H,0,2,A,14,12,6,5,4,7,11,11,3,5,0,0,11,8,5,1,3,0,3,4,5,10,4,2,-2
SP1,2025-02-08,Ath Bilbao,Girona,3,0,H,2,0,H,23,3,8,1,11,2,7,12,0,4,0,0,13,4,3,0,1,0,1,9,9,4,10,-2,2
SP1,2025-02-08,Las Palmas,Villarreal,1,2,A,0,0,D,20,9,4,4,6,5,12,12,6,3,0,0,11,9,3,1,1,2,3,4,10,0,0,0,0
SP1,2025-02-08,Real Madrid,Ath Madrid,1,1,D,0,1,A,23,10,9,1,6,1,14,13,1,3,0,0,7,4,2,1,1,0,1,12,10,6,6,-1,1
SP1,2025-02-09,Alaves,Getafe,0,1,A,0,1,A,12,4,4,3,8,3,16,16,2,6,0,0,11,8,1,0,0,0,0,5,8,0,0,0,0
SP1,2025-02-09,Valencia,Leganes,2,0,H,2,0,H,18,12,4,4,9,3,14,9,1,1,0,0,12,2,2,0,0,0,0,7,5,0,0,0,0
SP1,2025-02-09,Sociedad,Espanol,2,1,H,1,0,H,13,4,3,1,6,0,11,17,1,2,0,0,6,3,3,1,1,1,2,3,8,0,0,0,0
SP1,2025-02-09,Sevilla,Barcelona,1,4,A,1,1,D,8,10,4,6,5,6,14,6,5,2,0,1,11,7,5,1,0,3,3,6,7,0,15,-12,12
SP1,2025-02-10,Mallorca,Osasuna,1,1,D,0,0,D,10,19,2,4,7,11,7,11,1,4,0,0,18,5,2,1,1,1,2,6,5,5,8,-1,1
SP1,2025-02-14,Girona,Getafe,1,2,A,0,1,A,14,10,4,6,3,3,11,23,2,3,1,0,6,5,3,1,1,1,2,6,11,9,6,4,-4
SP1,2025-02-15,Leganes,Alaves,3,3,D,2,1,H,8,16,3,7,3,2,18,15,4,5,1,0,5,9,6,1,1,2,3,5,4,0,0,0,0
SP1,2025-02-15,Osasuna,Real Madrid,1,1,D,0,1,A,11,17,4,6,6,2,16,7,3,1,0,1,8,4,2,1,1,0,1,6,10,1,13,-12,12
SP1,2025-02-15,Ath Madrid,Celta,1,1,D,0,0,D,9,11,3,4,2,7,8,18,3,5,1,0,9,8,2,1,1,1,2,8,4,15,0,9,-9
SP1,2025-02-15,Villarreal,Valencia,1,1,D,1,0,H,13,12,4,3,4,5,6,17,0,5,0,0,9,5,2,1,0,1,1,10,10,8,5,0,0
SP1,2025-02-16,Espanol,Ath Bilbao,1,1,D,0,0,D,12,14,4,4,2,7,12,8,1,1,0,0,9,2,2,1,1,1,2,8,11,0,0,0,0
SP1,2025-02-16,Valladolid,Sevilla,0,4,A,0,2,A,7,11,2,6,3,2,11,10,4,2,0,0,5,6,4,0,0,2,2,3,6,0,0,0,0
SP1,2025-02-16,Mallorca,Las Palmas,3,1,H,3,0,H,14,9,5,4,3,5,7,13,1,4,0,0,8,5,4,1,0,1,1,4,1,0,0,0,0
SP1,2025-02-16,Betis,Sociedad,3,0,H,0,0,D,24,5,8,1,5,5,9,15,0,2,0,2,10,2,3,0,3,0,3,4,6,5,8,-2,2
SP1,2025-02-17,Barcelona,Vallecano,1,0,H,1,0,H,14,9,5,4,4,5,11,9,2,3,0,0,9,5,1,0,0,0,0,10,13,8,5,3,-3
SP1,2025-02-21,Celta,Osasuna,1,0,H,0,0,D,12,18,5,1,5,4,11,13,1,0,0,0,9,1,1,0,1,0,1,5,7,4,10,-1,1
SP1,2025-02-22,Alaves,Espanol,0,1,A,0,0,D,15,9,5,2,7,0,13,17,2,2,0,0,7,4,1,0,0,1,1,5,8,0,0,0,0
SP1,2025-02-22,Vallecano,Villarreal,0,1,A,0,0,D,10,10,5,5,3,5,15,12,1,4,1,0,8,5,1,0,0,1,1,10,11,8,5,-1,1
SP1,2025-02-22,Valencia,Ath Madrid,0,3,A,0,2,A,18,11,2,3,7,0,18,16,1,3,0,0,7,4,3,0,0,1,1,10,6,3,12,-6,6
SP1,2025-02-22,Las Palmas,Barcelona,0,2,A,0,0,D,10,15,2,5,5,3,13,4,1,1,0,0,8,2,2,0,0,2,2,1,13,0,0,0,0
SP1,2025-02-23,Ath Bilbao,Valladolid,7,1,H,4,0,H,29,5,16,3,4,4,10,5,2,3,0,1,8,5,8,1,3,1,4,9,0,0,0,0,0
SP1,2025-02-23,Real Madrid,Girona,2,0,H,1,0,H,22,6,5,2,11,5,1,7,0,2,0,0,16,2,2,0,1,0,1,8,3,10,4,8,-8
SP1,2025-02-23,Getafe,Betis,1,2,A,0,1,A,10,13,4,6,2,5,17,20,3,0,1,1,7,3,3,1,1,1,2,11,7,5,8,-1,1
SP1,2025-02-23,Sociedad,Leganes,3,0,H,1,0,H,12,8,5,2,3,3,13,13,3,3,0,0,6,6,3,0,2,0,2,3,5,0,0,0,0
SP1,2025-02-24,Sevilla,Mallorca,1,1,D,1,0,H,19,13,4,2,4,4,11,12,1,3,0,0,8,4,2,1,0,1,1,8,4,10,4,3,-3
SP1,2025-02-28,Valladolid,Las Palmas,1,1,D,0,1,A,23,4,7,3,13,4,11,8,2,1,0,1,17,3,2,1,1,0,1,0,1,0,0,0,0
SP1,2025-03-01,Girona,Celta,2,2,D,1,1,D,9,10,6,6,4,2,8,17,0,0,0,0,6,0,4,1,1,1,2,3,8,8,5,1,-1
SP1,2025-03-01,Vallecano,Sevilla,1,1,D,0,0,D,20,10,8,5,6,6,14,9,1,0,0,0,12,1,2,1,1,1,2,9,6,5,8,-1,1
SP1,2025-03-01,Betis,Real Madrid,2,1,H,1,1,D,18,9,3,2,9,2,17,12,3,4,0,0,11,7,3,1,1,0,1,10,8,3,9,-3,3
SP1,2025-03-01,Ath Madrid,Ath Bilbao,1,0,H,0,0,D,12,15,4,3,6,2,7,8,2,3,0,0,8,5,1,0,1,0,1,9,9,12,3,3,-3
SP1,2025-03-02,Leganes,Getafe,1,0,H,0,0,D,5,9,1,0,2,6,15,15,1,1,0,0,8,2,1,0,1,0,1,2,10,0,0,0,0
SP1,2025-03-02,Barcelona,Sociedad,4,0,H,2,0,H,33,0,10,0,12,0,15,6,0,0,0,1,12,0,4,0,2,0,2,15,6,9,6,4,-4
SP1,2025-03-02,Mallorca,Alaves,1,1,D,1,0,H,15,19,4,7,3,9,20,14,0,2,0,0,12,2,2,1,0,1,1,5,2,0,0,0,0
SP1,2025-03-02,Osasuna,Valencia,3,3,D,3,2,H,12,12,5,5,3,3,10,7,2,1,0,0,6,3,6,1,0,1,1,6,7,4,10,-2,2
